epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.0604,0.83525,6.0348,0.00271,0,0,0,0,0.49698,6.59781,0.00184,3.333e-05,3.333e-05,3.333e-05
2,15.1384,0.8096,5.9798,0.00237,0.00164,0.02083,0.0003,0.00015,0.44645,6.53993,0.00159,7.00708e-05,7.00708e-05,7.00708e-05
3,19.1404,0.69542,5.6726,0.00214,0.0022,0.04167,0.00051,0.00026,0.47021,6.40135,0.0017,9.80124e-05,9.80124e-05,9.80124e-05
4,23.0047,0.64087,5.38272,0.00201,0.00515,0.125,0.00684,0.0038,0.46285,6.27552,0.0017,0.000117155,0.000117155,0.000117155
5,26.7188,0.72828,5.17049,0.00208,0.00674,0.1875,0.04098,0.03011,0.43116,6.23524,0.00168,0.000127498,0.000127498,0.000127498
6,30.5049,0.6127,4.80344,0.00189,0.00551,0.1875,0.06532,0.04865,0.44373,6.21746,0.00177,0.000129043,0.000129043,0.000129043
7,34.3009,0.64707,4.65234,0.00206,0.00577,0.22917,0.09013,0.06603,0.4756,6.18708,0.00191,0.000121788,0.000121788,0.000121788
8,38.01,0.64046,4.49463,0.00192,0.00578,0.25,0.10888,0.08364,0.47596,6.15123,0.00183,0.000105734,0.000105734,0.000105734
9,41.7748,0.68286,4.43678,0.00212,0.00554,0.25,0.11401,0.08904,0.47864,6.1267,0.0019,8.08808e-05,8.08808e-05,8.08808e-05
10,45.5127,0.60048,4.32863,0.00193,0.00518,0.25,0.11756,0.09367,0.45974,6.10533,0.00181,4.72286e-05,4.72286e-05,4.72286e-05
